,Unnamed: 0,Name of NGOs,Address,City,Pin Code,State,Mobile No(s).,Email,Website,Name of Contact Person,Purpose,About
23,23,"Asian Cerebral Palsy Trust, Ahmedabad", Ahmedabad,Ahmedabad, 380009,Gujarat, 91-99241 81291  91-79-26000640, darshanakeya2005@yahoo.com,,,Purpose: Cerebral palsy.," Disability, child development."
24,24,"Behavioural Science Centre, Ahmedabad"," St. Xavier’s College Campus, Navarangpura",Ahmedabad, 380009,Gujarat,"  91-79-26466928, 91-79-26561845", sxnfes@ad1.vsnl.net.in, http://www.angelfire.com/hi/NGOBSC, Prasad Mathew Chacko,"Purpose: Development(General), Poverty, Training, Tribal issues, Women’s issues"," BSC has had a dual commitment of active involvement in rural areas for training and research in development issues.The Centre harbours a basic commitment to the integration of field experience and theoretical reflection, contributing at a wider level to a better understanding of the issues of development. To carry out it’s mission, the Centre has attempted to combine two important aspects of development strategy; active involvement at the grassroots level by helping the economically and socially deprived to organise themselves and a serious attempt to conceptualise that involvement through reflection, research and training."
25,25,"Bharat Vikas Parishad, Gujarat"," C/o Ajit ADS-4, Narayan Chamber",Ahmedabad, 380009,Gujarat,  91-79-26579775, ajitads17@gmail.com, http://www.bvp.com, Ajit Shah,Purpose: Social Work.," Viklang sayata & punarvas yojana, gram, basti vikas yojana, vanvasi sahayata yojana, environment, health, eye care & donation, samuhik saral vivah, national group song competition, PDC camps, bal sanskar sibir, guru vandan chatra abhinandan, vande matrem competition, Bharat ko jano."
26,26,"Bharat VikasParisad Viklang Kendra, Ahmedabad"," 22, Lower Level, Jaydeep Tower",Ahmedabad, 380007,Gujarat,  91-79-26622257, sheth_shailesh@hotmail.com, http://www.bvpviklangahdind.org, Shailesh Sheth,"Purpose: Sampark, sahyog, sanskar, seva, samarpan."," Individual achievement and distinguished social status is debt to the society. A individual who is intelligent, cultured and gentle is equally responsible for the society therefore, he has tendency for social service to get reed of debt to the society. As a individual you have distinguish position and fame in the society and persons like you if unite and use their ability and mind for the socio cultural and ancient values of our country, we can turn our country in to heaven."
27,27,"Bhartiya Grameen Mahila Sangh, Ahmedabad"," C/o Samaj Kalyan, Bhadra",Ahmedabad, 380001,Gujarat,  91-79-25507211,,,,Purpose:," BGMS works for the all round development of women and children. Health care, income generation programs, adult education, general awareness generation among women are some of the key issues addressed by the organisation."
28,28,"Bhartiyam Samaj Seva Trust, Ahmedabad"," Rohidas society, Jetalpur",Ahmedabad, 380001,Gujarat, , bhartiyasamajsevatrust@gmail.com,, Priyakant Sonara,Purpose: Get involved in partnership., Rural development & social change.
29,29,"Blind People’s Association, Ahmedabad"," Vikram Sarabhai Road, Vastrapur",Ahmedabad, 380015,Gujarat,"  91-79-26440082, 91-79-26560106", blinabad1@sancharnet.in, http://www.bpaindia.org, Dr Bhushan Punani,"Purpose: Aged, Disability, Education, Employment, Training"," The organisation aims at the overall development of the blind through various training courses such as stenography, telephone operation receptionist, education programmes and special computer training programmes. It also conducts various health care camps for prevention of disability. It attempts at making blind self-reliant and encourages them to lead a normal life. Apart form this, it translates educational material in braille."
30,30,"Brahma Samaj, Ahmedabad"," Drive in Road, Thaltej",Ahmedabad, 380054,Gujarat," 91-93270 15184, 91-93270 15184 ", bestkumar2000@yahoo.com, http://www.brahmasamaj.webs.com, K R Mehta,Purpose: Cultural and Religious Activities," Brahma Samaj is working for development of Brahmins and all other people. Inter school competition, gayatri yagna, samuh katha, pitru tarpan, samuh yagnopavit are programmes held by Brahma Samaj."
31,31,"Care India, Ahmedabad"," A/12, Ishaan-2, Opp. Karnavati Club",Ahmedabad, 380015,Gujarat, 91-98250 63369 , bdsharma_rti@yahoo.com,, Sharma B.D.,Purpose:, To save natural environment & change of climate. Child abuse. Women violation. To work for women’s welfare & help them to get just & social status. To take care & help old aged & senior peoples. To help poor & neediest.
32,32,"Centre for Development Communication, Ahmedabad"," GIET Compound, 132 Ring Road, Gujarat University",Ahmedabad, 380009,Gujarat,"  91-79-26407481, 91-79-26441654",,, Malti Mehta,"Purpose: Development(General), Education, Media, Tribal issues, Women’s issues"," CDC teaches development communications through practicals and exposure in the field. The focus is on rural areas, tribal belts and urban slums. It conducts research studies on media related subjects."
33,33,"Centre for Environmental Planning and Technology, Ahmedabad"," Kasturbhai Lalbhai Camp, University Road, Navrangpura",Ahmedabad, 380009,Gujarat,"  91-79-26302470, 91-79-26302075", cept@vsnl.net.in, http://www.eco-web.com, Prof R N Vakil,"Purpose: Art and culture, Disaster management, Education, Environment, Science and Technology, Training, Urban Development"," CEPT is a premier academic institution in the country imparting education at graduate and post-graduate level in Architecture, planning, Interior Design and Construction Technology, sponsored by the Ahmedabad Education Society (AES), a voluntary non-profit organisation established in 1935. CEPT is an autonomous institution offering its own diplomas for various academic programs, which are recognised by the government. Experts from academics, professional fields, and industry are part of the Governing Council. The institute has been accorded the status of Scientific and Industrial research Organisation (SIRO) by the Ministry of Science and Technology, Govt. of India."
34,34,"Centre for Health Education Training and Nutrition Awareness, Ahmedabad"," Chetna, Lilavatiben Lalbhai’s Bungalow",Ahmedabad, 380004,Gujarat,"  91-79-22866695, 79-22866513", chetna@icenet.net, http://www.chetnaindia.org, Indu Capoor,"Purpose: Child welfare, Food and Nutrition, Health, Women’s issues"," CHETNA contributes towards the empowerment of disadvantaged women and children in the field of health and nutrition through various capacity building activities. It supports several government and non-government organisations through its resource centres-Cheitan and Child Resource Centre and CHAITANYAA and WHDRC. These centres focus on awareness raising and sensitizing, capacity building of organisations through training of trainers, documenting experiences, developing/disseminating need based education and training materials. Apart from this CHETNA is involved in advocacy and networking activities."
35,35,"Centre for Social Justice, Ahmedabad"," C-106, Royal Chinmay, Opp. IOC Pump, Off.Judges Bunglow Road",Ahmedabad, 380054,Gujarat,  91-79-26854248, socjust@gmail.com,, Nupur,"Purpose: Legal aid, advice, advocacy, awareness, training, research and documentation."," Increase awareness and sensitivity of human rights amongst stake – holders. Provide platforms constantly where different stake-holders can come together on various human rights issues affecting the vulnerable namely, women, dalits and tribals. Improve the quality of legal education at various levels like the community, law colleges, state bodies like police academy, jail training institute, etc. Provide quality legal services to the vulnerable groups specially women, dalits, tribals and prisoners. Link grassroots experiences with policy level advocacy for law reforms. Bring about a human rights perspective to the judiciary and other stake-holders."
36,36,"Charakha Development Communication Network, Ahmedabad"," 702, Sakar 4, Opp MJ Library",Ahmedabad, 380006,Gujarat,  91-79-26583305, churukhag@rediffmail.com,,,Purpose:," Charkha a communication forum was established with the aim of writing true life experiences of people living at the grass root and is the voice of the have not. Launched in Gujarat during August 1995, Charkha is one of the activity centre of UNNATI. In its six years of existence, Charkha has facilitated and motivated development practitioners to write. These practitioners have written about activities being carried out in different areas. The objectives of the organisation are to regularly publish exemplary developmental initiatives carried out in mainstream regional newspapers. Facilitate and motivate development practitioners to write."
37,37,"Christ College, Ahmedabad"," Jagdalpur Geetam Road, Bastar District",Jagdalpur, 494001,Gujarat,  91-7782-222380, christcollegejagdalpur@yahoo.co.uk,, Fr. Abraham Kochucarackal,Purpose: Education," Christ College, Jagdalpur is a minority institution for higher education affiliated to Pt. Ravishankar Shukla University, Raipur (CG). It plans to offer qualitative and professional education strives to abide by its vision of Perfection, Excellence and Liberation. At Christ College we help to develop the hidden potentialities of our students. Helping them excel in their lives through a holistic development which is attained through academic excellence and professional competency, personal, interpersonal and social skills."
38,38,"Chuwal Gram Vikas Trust, Ahmedabad"," M 45/533 Paresnagar Solaroad, Naranpura",Ahmedabad, 380013,Gujarat, 91-96012 59041  91-79-27410808, chuwalgram@yahoo.com,, Chandu Patel,"Purpose: Woman empowerment, education, health, water."," Development health, education, agriculture, environment, emergency relief, M.S.M."
39,39,"Citizen forum on Human Rights, Gandhidham"," National President’s Office, Gandhidham",Gandhidham, 370201,Gujarat, 91-94262 15334 , nchrcr_india@yahoo.co.in, http://www.indianhumanrights.org, S.K. Bhattacharjee,"Purpose: Working for human rights and civil rights protection of govt., semi- govt. Employees and general public."," We take immense pleasure in informing you that national council for human rights and constitutional rights known as NCHRCR have joined hands with other like minded ngo’s and have formed a new organization and registered under society act vide reg. Nos. 54581/2005 ? Delhi in the name and style ?citizen forum on human rights for government, semi-government employees and general public? CFHR, this organization is now one of the India’s biggest ngo for protection and promotion of awareness about human rights and civil rights, under the leadership of prominent sr. Journalist, social worker and human rights activist, ln. S. K. Bhattacharjee, an active social worker from railway Virendra kaushik, Ramesh bansal (president, port users federation), R.P. Sharma (div. Secy., obc association, ahmedabad), Suresh malani (journalist), Upendra raval (social activist and translator – guide for indian citizen to fight against corruption, by shri N. Vitthal, cvc, New Delhi and other philanthropic personalities from various fields."
40,40,"Cluster Pulse, Ahmedabad"," 312, University Plaza, Navrangpura",Ahmedabad, 380009,Gujarat,  91-79-27913908, info@clusterpulse.org, http://www.clusterpulse.org, Jagat Shah,"Purpose: Cluster development, economic development"," Cluster Pulse is a not for profit ngo, for hand holding to SME’s and artisans through Cluster development initiatives and methodology. CP has worked in 70 clusters in countries like India, South Africa, Sweden, Canada, USA, UK, Turkey, Brazil, China and Afghanistan. Cluster Pulse has worked with UNIDO, GTZ, USAID, DFID, IFC, World Bank, ILO, MICROSOFT, overseas governments, various ministries of Govt. of India in various clusters."
41,41,"Coastal Salinity Prevention Cell, Ahmedabad"," 22-B, Yogashram Society, Shyamal Road, Ambawadi",Ahmedabad, 380015,Gujarat,  91-79-32519799, cspc2salinitycell.org.in, http://www.cspc.org.in, Sujit Kumar,Purpose:," The role of CSPC has been visualized as a fulcrum to develop and strengthen various initiatives of government and civil society organizations, aimed at addressing the issue of salinity, including kvy."
42,42,"Consumer Education and Research Centre, Ahmedabad"," Suraksha- Sankool, Thaltej, Gandhinagar Highway",Ahmedabad, 380054,Gujarat,"  91-79-27489945, 91-79-27489947", cerc@wilnetonline.net,, J N Gandhi,"Purpose: Consumer issues, Law"," The Centre works for the welfare of the consumers by protecting and enhancing their rights. Some of the areas on which it concentrates include consumer protection, environment, in-house and independent comparative product testing laboratory for evaluation, ranking and rating of consumer goods, research and publication and training."
43,43,"D.N. Polytechnic Education Trust, Ahmedabad"," Deepjyot Complex, Opp. Devi Cinema",Ahmedabad, 382325,Gujarat,  91-79-22814235, dnpolytechnic@sify.com, http://www.dnpolytechnic.org, Dipak Chauhan,"Purpose: Vocational, Technical & EDP Training"," Since its inception the organisation has been involved in various training, development and awareness programs across India. Organisation has been grooming young entrepreneurs, mainly from socially and economically backward class, in the field of industry. It also strives to seek and help potential entrepreneurs by increasing their interest in vocational training. The organization believes that providing vocational training is a catalyst in solving the problem of unemployment."
44,44,"Darpan Academy, Ahmedabad"," Usmanapura, Ahmedabad",Ahmedabad, 380013,Gujarat,"  91-79-27551389, 91-79-27550955", darpana@icenet.net,, Ms Mallika Sarabhai,"Purpose: Art and culture, Child welfare, Disaster management, Education, Environment, Human Rights, Women’s issues", Darpana for Development believes that through the performing arts it can play a vitally important role? – in empowering human beings – in building a sense of equality in society – in encouraging people to find their own voice – in reinforcing people?s sense of pride in their community – in making people more responsible for their society – in provoking new thinking about ways to deal with violence and hatred – in refocusing attention on values for peace – in combating the destructive forces of communalism and casteism – in creating new life for dying art and culture – in providing opportunities for artists young and old – in bringing people together – in enhancing the quality of life.
45,45,"Darshu Care Public Charitable Trust, Ahmedabad"," 252, Manekbaug Society, Gate 11, Ambawadi",Ahmedabad, 380015,Gujarat," 91-99255 50985, 91-98242 36684 ", db_shah2001@yahoo.com,, Darshita,"Purpose: Education, health, disability.",
46,46,"Desh Foundation, Ahmedabad","Add : F-104, Savvy Solaris, Nr.Auda Garden, Motera",Ahmedabad,Gujrat,380005,Mobile : 70460 66270 Tel :,Email : info@mydesh.org,Website : www.mydesh.org,Contact Person : Sandeep Sharma," Community Development, Disaster Management, Environment, General – Social Welfare, Infrastructure, Peace, Plantation, Poverty, Rehabilitation, Sanitation, Women Development/Welfare.",Aim/Objective/Mission : Development and empowerment with social harmony.
47,47,"Developing Initiatives for Social and Human Action, Ahmedabad"," 9, Mangaldeep Flats, Near Gandhi Ashram",Ahmedabad, 380027,Gujarat,"  91-79-27559842, 91-79-27556782", dishaad1@sancharnet.in,, M.D. Mistry,"Purpose: Labour, Rural Development", DISHA is a people and membership based organisation. It has developed a structure of membership based unions and village groups as people’s organisations. It has taken up developmental and advocacy programmes. The main purpose of DISHA is to organise people in order to change power relations in favour of poor.
48,48,"Development Activities, Social Service and Research Trust, Ahmedabad"," Post Box No 12016, Paldi Post Office",Ahmedabad, 380007,Gujarat,"  91-79-26589532, 91-79-26575397",,, Saroj Verma,"Purpose: Child welfare, Development(General), Disability, Women’s issues"," DASSRT as the name suggests works in the field of social services and social research. Its activities also focus on welfare of handicapped and children, credit savings to empower women and collaborating with local agencies for publication and research."
49,49,"Development Support Centre, Ahmedabad"," Development Support Centre, 2, Prakruti Apts., Opp. Red Rose Restuarant",Ahmedabad, 380009,Gujarat,"  91-79-26301892, 91-79-26303296", dsc@satyam.net.in,, Anil Shah,"Purpose: Agriculture, Development(General), Forestry"," DSC provides support to people-centred organisations, programmes and policies in natural resource development with an emphasis on participation, equity, efficiency and cost-effectiveness, sustainability, honesty and transparency."
50,50,"Dharti Charitable Trust, Ahmedabad"," Dahegamda, Bavla Town",Ahmedabad, 382220,Gujarat, 91-98244 24371  91-79-27480980, dharti_trust@yahoo.com,, Kanti Makwana,Purpose:," It has been working for the development and welfare of rural communties of Ahmedabad district. It has been engaged in rural development work, providing pure water in villages, environment concern, literacy to women & children, empowering and sensitizing women of their rights, promoting organic agriculture, forming saving groups among the rural communities."
51,51,"Disaster Mitigation Institute, Ahmedabad"," 411, Sakar Five Building, Behind Natraj Cinema",Ahmedabad, 380061,Gujarat,"  91-79-26586234, 91-79-26582962", dmi@icenet.net, http://www.southasiadisasters.net/, Mihir Bhatt,"Purpose: Disaster management, Rehabilitation"," Disaster Mitigation Institute (DMI) is a community based action research and action planning organisation that bridges the gap between policy, practice and research from the community to the national level."
52,52,"Disha, Ahmedabad"," 46/544 Chitrakut Appts, Sola Road",Ahmedabad, 380063,Gujarat,  91-79-27482997,,, Suresh Ramanuj,Purpose: Art and culture, The organisation?s aim is to engage itself in imparting education to the children. Educate them about their health and to organise welfare activities.
53,53,"Earth Life Care Charitable Trust, Ahmedabad"," 124, Sahjanand Arcade, 132 Ft Ring Road",Ahmedabad, 380052,Gujarat, 91-99983 16998 , elc.charity@indiatimes.com,," Amit Suthar, Nilesh Parmar",Purpose: Serve and care earth life and improve it.," Our main object is to serve humanity in health, social life, environment and education related subject."
54,54,"Eklavya Education Foundation, Ahmedabad"," Core House Office, C.G. Road, Nr Parimal Garden, Ellisbridge",Ahmedabad, 380006,Gujarat,"  91-79-26461629, 91-79-26563681", eklavya@ad1.vsnl.net.in, http://www.eklavya.org, Sunil Kumar Handa,Purpose: Education," EEF is a non-profit organisation established by young professionals, educators and businessman with a desire to set up and run schools and technical institutes, in a professional, modern and ethical manner, aiming to be a role model for a new revolution in education."
55,55,"Ekta Yuvak Mandal, Ahmedabad"," Liladhar Bhat Hall, Near Behrampura Post Office",Ahmedabad, 380022,Gujarat,  91-79-25330427,,Contact Person:,Purpose:,"Aims/Objectives/Mission : The organisation aims to form youth groups in different slum areas of Ahmedabad, thereby channelising youth potential for developmental work in backward and under-developed areas of Ahmedabad.",This needs fixing T-T
56,56,"Foundation for Philanthropic Services Enhancement, Ahmedabad"," 1, Harsh Apartment, Pritam Nagar",Ahmedabad, 380006,Gujarat,  91-79-65436585, fpse@admn.org, http://www.fpse.org, J N Lakhia,Purpose: To work for the poor people in rural areas.," FPSE?s goal is to work as a channel partner & have alliance with international charity, organizations, ngo?s for bringing more resources, expertise and skills, and also offer all necessary services and assistance required from the ngo partners achieving common mission. Through cooperation we specifically aim to empower local ngo?s by imparting professional working systems & knowledge resulting in advance philanthropy through education, training, research, advocacy & inviting people participation."
57,57,"Foundation for Public Interest, Ahmedabad"," 803, Sakar Four Building, Opp Town Hall",Ahmedabad, 380006,Gujarat,  91-79-26587890, fpi@icenet.net,, Mihir Bhatt,"Purpose: Consumer issues, Employment, Health, Local Administration, Sanitation, Water, Women’s issues", FPI focuses on capacity building of grass-roots organisations. It supports poor communities and empowers women. It creates awareness among the people about the ways and means of combating natural disasters.
58,58,"GANATAR, Ahmedabad"," Last Tenament, Prabha Colony",Ahmedabad, 380013,Gujarat,  91-79-27542681, ganatar@gmail.com, http://www.ganatar.org, Sukhdevbhai Patel,Purpose: Child rights," Every children go to school and enjoy his life, Balpan."
59,59,"Give Foundation, Ahmedabad"," 613-615 JB Towers, Drive in Road",Ahmedabad, 380054,Gujarat,"  91-79-26853956, 91-79-26855610", info@givefoundation.org, http://www.givefoundation.org, Venkat Krishnan N,Purpose: Grants/Aids," GIVE Foundation is a not-for-profit organisation dedicated to professionalisation of the ‘third sector’. Our Mission is to promote the act of giving, by helping good NGOs raise funds, and promoting greater transparency and accountability in the ‘third sector’."
60,60,"Global Development Institute, Ahmedabad"," 208, Grand Monarch Complex, Anand Nagar Road Satelite",Ahmedabad, 380015,Gujarat, 91-98246 95955 , gdiahmedabad@gmail.com,, Milan Pathak,"Purpose: Education, health, water, women empowerment, child development, rural development, micro finance."," GDI increase society development. Free Computer Education (FCE) aim to grow computer literacy. GDI mission to spread computer and IT educations globally. GDI provide free of cost computer education and IT education all over the world, GDI generation of employment and entrepreneur. Our project for below poverty limit (BPL) people, urban, rural and tribal people who need training for sustain life."
